name,sku,price,stock,categories,tags,image,description,short_description
Carrinho de controle zmoto3,ZMOTO3-001,1820.00,10,adultos/carrinho-controle-remoto,destaque/novo,,Descrição completa do produto,Carrinho de controle remoto profissional
Helicóptero com controle,HELIC-001,560.99,5,drones,destaque,,Helicóptero com controle remoto,Helicóptero com controle
Boneca Love Born Nanando,BONECA-001,219.80,15,meninas/bonecas,destaque/novo,,Boneca bebê Love Born,Conjunto completo de boneca bebê
Boneca New Born Dengo,BONECA-002,189.80,12,meninas/bonecas,destaque,,Boneca bebê New Born,Boneca bebê com acessórios
Brinquedo para montar,MONTAR-001,415.00,8,meninos,,destaque,Brinquedo educativo para montar,Brinquedo de montar educativo
Carrinho de Controle remoto Ac,CARRINHO-001,1299.99,7,adultos/carrinho-controle-remoto,destaque,,Carrinho de controle remoto profissional,Carrinho off-road controle remoto
Carrinho com Câmera de controle,CAM-001,319.99,20,adultos/carrinho-controle-remoto,,,Carrinho com câmera de controle remoto,Carrinho com câmera para gravar
Hoverboard,HOVER-001,2125.00,6,adultos/quadriciclo-eletrico,destaque,,Hoverboard elétrico profissional,Hoverboard com LED e Bluetooth
Carrinho de controle remoto fo,CARRINHO-002,259.99,15,adultos/carrinho-controle-remoto,,,Carrinho de controle remoto,Carrinho controle remoto básico
Mesinha c/ Cadeira Azul,MESA-001,269.99,10,meninos,,,Mesinha com cadeira azul,Mesa e cadeira infantil
Carrinho de Boneca,CARRINHO-003,169.99,25,meninas/bonecas,,,Carrinho para boneca,Carrinho de boneca tradicional
Carrinho de Controle Turbo Max,TURBO-001,309.99,12,meninos/carrinhos-controle,destaque,,Carrinho de controle remoto Turbo Max,Carrinho turbo com controle remoto
